Countryname,ISO,WEO Country Code,Indicator,Units,Frequency,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,ABW,314,Export Diversification Index,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46553,3.61069,4.29891,4.47202,4.47675,4.663,4.84594,4.82289,4.89552,4.85471,4.7144,4.50028,3.84475,3.76662,3.60676,3.56463,3.78887,3.0062,3.31935,3.21901,3.33083,3.40958,3.3626
Andorra,ADO,171,Export Diversification Index,Index,Annual,3.92144,,5.74461,6.39672,5.03877,4.84502,6.43775,4.98429,3.39142,3.21808,3.20976,3.25228,3.16421,3.21693,3.08208,3.37676,3.3436,3.45133,3.33358,2.54133,4.64545,3.39499,3.13475,3.43934,3.68106,3.71181,3.31735,3.15457,3.40138,2.89611,2.74224,3.05214,2.84888,3.1187,2.95161,2.69856,2.49695,2.43775,2.2463,2.14892,2.4064,2.512,2.44361,2.82048,2.75341,2.48129,2.18742,2.00983,2.69638
Afghanistan,AFG,512,Export Diversification Index,Index,Annual,4.42382,4.52676,4.36189,4.36804,4.36527,3.81375,4.15372,3.96975,3.80037,3.87175,3.70373,3.67547,3.68695,3.46635,3.60263,3.78735,3.65339,3.65972,4.07593,3.58995,3.72547,3.9265,3.69577,3.7392,3.73552,3.8302,3.93293,4.153,4.0432,3.85836,3.71693,3.34523,4.2964,3.35569,3.06684,2.70932,2.93502,3.08448,3.31524,2.80837,2.8074,3.01583,3.0029,2.91196,3.07293,2.86369,2.73306,2.19426,2.72673
Angola,AGO,614,Export Diversification Index,Index,Annual,4.18931,4.28717,4.03057,4.21437,4.30843,4.33867,3.78199,3.88418,3.88447,3.90715,3.7885,3.78756,3.98863,4.34878,5.03118,5.08356,5.07062,5.42626,5.74937,5.82753,6.08565,6.01622,6.09154,6.17354,6.07049,6.00948,5.91586,5.9542,6.01479,6.176,6.04547,6.08298,6.03833,6.00202,6.04845,5.99078,5.88173,5.90334,6.09623,6.06904,6.11353,6.24371,6.33055,6.24541,6.29519,6.21156,6.31543,6.27794,6.33612
Anguilla,AIA,312,Export Diversification Index,Index,Annual,,,,,,,,,,,,,,,,,,,,4.19793,5.40188,5.22646,4.39654,6.02998,6.01763,4.08592,3.40853,3.14734,3.61678,2.94903,3.96564,4.36058,3.24766,3.74191,3.29474,2.7235,3.1463,3.56742,3.14012,2.94574,3.05381,3.51242,3.23746,3.79318,4.1235,3.57806,3.89167,3.17032,3.41844
Albania,ALB,914,Export Diversification Index,Index,Annual,4.33025,3.71264,3.70771,3.12281,2.64631,2.77458,2.89064,3.1628,2.95958,3.22662,2.95166,3.03739,3.19783,3.43187,3.37423,3.16422,3.00651,3.28244,2.6913,3.31153,3.44149,2.93694,3.05755,3.0471,3.21724,2.83498,2.98399,2.88086,2.58122,2.88529,2.66705,2.87717,3.04626,3.05466,3.11279,3.1342,3.37343,3.43729,3.18908,3.31032,3.25383,3.01797,3.16244,2.96642,2.92992,2.83355,1.98056,1.97971,2.90818
United Arab Emirates,ARE,466,Export Diversification Index,Index,Annual,6.43775,6.01109,,6.43775,,4.93623,3.41559,3.37959,5.51921,5.51538,6.22119,6.13101,6.29808,6.18075,6.15011,6.08568,6.16036,6.09108,5.80739,5.73292,5.54377,5.47749,5.31528,5.32277,5.05643,4.99999,4.80194,4.83046,5.01994,4.98102,4.82597,4.52973,4.48474,4.23952,4.35533,4.17526,3.69926,3.6098,4.01846,3.75888,3.55433,3.76463,3.63932,3.67891,4.3772,3.85491,4.16106,4.05051,3.57228
Argentina,ARG,213,Export Diversification Index,Index,Annual,3.12299,2.94726,3.08286,3.27136,3.11054,2.93179,2.70376,2.81945,2.77832,2.78713,2.67228,2.56368,2.44496,2.47133,2.29152,2.27164,2.17642,2.41914,2.3406,2.55389,2.36727,2.70681,2.64496,2.56589,2.36157,2.19594,2.16153,1.94721,1.9487,2.10543,2.20776,2.14971,2.15756,2.03426,2.17562,2.22637,2.16158,2.11523,2.25811,2.28845,2.29896,2.3957,2.3432,2.28059,2.22401,2.36737,2.46035,2.34489,2.37953
Armenia,ARM,911,Export Diversification Index,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7021,4.5296,5.41693,4.47637,3.47055,3.0104,3.15064,3.60261,3.30794,3.04248,3.67626,3.92172,3.56286,3.92264,3.45268,2.96681,3.17148,3.22224,3.17978
Antigua and Barbuda,ATG,311,Export Diversification Index,Index,Annual,,,,5.7446,,,6.43775,,5.27571,4.19013,4.55783,5.10082,4.23127,4.87598,3.94373,3.62957,3.53085,3.71905,3.90995,3.07208,3.81741,3.79019,4.15496,3.87835,3.65233,3.38837,3.24399,3.71537,3.19207,3.31278,2.95992,3.65024,3.81268,3.72309,4.25482,4.36325,3.20959,3.62475,4.7344,5.62291,5.46233,5.46935,5.1587,5.71749,5.8624,4.83217,3.69155,2.42773,2.38098
Australia,AUS,193,Export Diversification Index,Index,Annual,3.46554,3.11055,3.03192,2.91562,2.70028,2.71316,2.57979,2.5635,2.45059,2.37549,2.40227,2.50414,2.42515,2.44832,2.53281,2.48325,2.40676,2.39372,2.3858,2.37842,2.42607,2.39352,2.46071,2.51942,2.44594,2.32224,2.31344,2.29898,2.22925,2.21356,2.1845,2.12385,2.02054,1.997,1.92217,1.9786,1.98948,1.91646,2.03648,2.06409,2.06693,2.06956,2.16872,2.40185,2.42485,2.45381,2.84586,2.85654,2.99216
Austria,AUT,122,Export Diversification Index,Index,Annual,1.68478,1.55486,1.45636,1.42906,1.40073,1.36693,1.33071,1.37917,1.34678,1.32515,1.3318,1.35685,1.35754,1.30654,1.30322,1.34934,1.32327,1.29149,1.28989,1.28562,1.2627,1.28214,1.27529,1.26754,1.33327,1.36351,1.38833,1.37832,1.40696,1.37785,1.36915,1.36332,1.38783,1.42504,1.44535,1.45978,1.44266,1.49885,1.57769,1.51446,1.5272,1.58194,1.56922,1.48973,1.54867,1.59933,1.51474,1.56419,1.55012
Azerbaijan,AZE,912,Export Diversification Index,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36268,4.01404,3.77541,3.54188,2.22506,2.54553,2.42213,3.92554,4.45688,5.11531,5.29673,5.07089,4.78838,4.97786,5.61222,5.67802,5.83734,5.83786,5.85302
Burundi,BDI,618,Export Diversification Index,Index,Annual,5.21719,5.1294,5.69791,4.73054,5.70422,5.37138,5.23787,5.31338,5.49166,5.3313,5.45005,4.91897,4.89011,4.81781,5.31223,5.44275,5.02595,5.07886,5.37882,5.08943,5.21052,5.37346,5.67116,5.6924,5.91696,5.49752,5.65573,5.60095,5.09177,5.27494,5.10238,4.61318,4.80901,5.56777,4.67686,5.49831,5.54141,5.46457,5.2572,4.36921,4.02065,5.09794,4.45878,5.45067,3.44557,4.11736,3.84293,4.63167,4.02759
Belgium,BEL,124,Export Diversification Index,Index,Annual,1.2136,1.16417,1.20159,1.22241,1.2354,1.21917,1.26258,1.27754,1.26498,1.31046,1.27756,1.31533,1.27558,1.23016,1.28643,1.32011,1.36473,1.35389,1.33069,1.33847,1.3544,1.36781,1.32598,1.30934,1.37706,1.43733,1.45343,1.43564,1.44662,1.45056,1.44736,1.56232,1.55226,1.5269,1.54892,1.55703,1.5155,,,,,,,,,,,,
Benin,BEN,638,Export Diversification Index,Index,Annual,4.41923,4.49102,4.41132,2.96968,3.68456,3.51091,3.49184,3.46705,3.7099,3.84985,3.87151,4.07956,3.56507,3.60754,3.55868,3.31708,3.56736,3.75099,3.8197,3.27885,3.69418,3.20919,4.31579,4.56778,4.40748,4.30223,3.48559,4.77078,4.34307,4.75433,4.47102,4.59612,4.74378,4.85597,4.89815,5.26484,5.02866,4.67981,4.3818,4.94209,4.20389,4.3356,4.3623,3.83055,3.6351,3.87186,4.01912,3.9583,3.78333
Burkina Faso,BFA,748,Export Diversification Index,Index,Annual,4.658,4.56544,4.53505,4.07967,4.1074,4.2537,4.25582,4.4996,4.65284,4.36184,4.10537,4.03077,4.02109,3.74563,4.34455,4.42024,4.18451,4.32525,4.0912,4.52744,4.39673,4.36934,4.53799,4.0485,4.00607,4.32944,4.649,4.86284,4.88999,5.48975,5.48428,5.28771,4.86482,4.62896,4.6206,5.20403,4.73298,4.83285,3.50239,3.32783,3.00148,4.46129,4.54345,5.08599,5.04548,4.9216,4.78068,4.53537,4.00053
Bangladesh,BGD,513,Export Diversification Index,Index,Annual,,,,,,,,,,,5.11279,4.66071,4.66763,4.42123,4.26718,4.3007,4.12207,4.22339,4.1607,4.05897,3.88465,3.92286,3.92142,3.89889,3.93276,3.8954,3.85306,3.91352,3.99015,4.12006,4.1426,4.18175,4.22538,4.24689,4.23152,4.36789,4.45042,4.50685,4.53672,4.56186,4.57295,4.62018,4.63227,4.64211,4.68034,4.65589,4.72344,4.82164,4.81238
